id,date,added,archived,category,geography,evidence,title,source,sourceUrl,keyFinding,takeaways,extra_json
11,2023-12-18,2026-04-30,,community,us,,Local Implications of Data Centers and the Tech Layoff Wave on Regional Labor Markets,Brookings Metro,https://www.brookings.edu/articles/local-implications-data-centers-rural-communities-us/,"The 2022–2023 tech layoff wave was geographically concentrated in five metro areas, creating localized fiscal stress and housing market corrections invisible in national aggregates.","San Francisco, Seattle, Austin, New York, and Boston absorbed over 70% of announced tech layoffs despite representing under 15% of total U.S. employment.
Affected metros saw 6–12% declines in commercial real estate occupancy within six months, with downstream effects on municipal revenues and transit.
Displaced tech workers showed lower-than-expected geographic mobility, concentrating high-skill unemployment in already high-cost housing markets.",
12,2025-10-17,2026-04-30,,community,us,,Data Drain: The Land and Water Impacts of the AI Boom,Jon Gorey — Lincoln Institute of Land Policy,https://www.lincolninst.edu/publications/land-lines-magazine/articles/land-water-impacts-data-centers/,AI data center construction is creating acute resource conflicts in rural communities as promised job creation fails to materialize while water and power demands intensify.,"Large data centers in water-stressed regions consume 1–5 million gallons daily for cooling, often under NDAs preventing public accounting of cumulative regional water draw.
Despite large capital investment announcements, data center operations typically create fewer than 50 permanent local jobs per facility.
Local electricity rate increases following data center grid connections have averaged 4–9% in rural co-op territories, disproportionately affecting low-income residents.",
13,2024-03-05,2026-04-30,,wellbeing,us,,Always-On Work Culture and AI Assistant Adoption: Boundary Erosion Among Knowledge Workers,American Psychological Association,https://www.apa.org/pubs/reports/work-wellbeing,"AI productivity tool adoption correlates with extended working hours and declining psychological detachment, partially or fully offsetting efficiency gains in wellbeing outcomes.","Workers who adopted AI assistants reported 1.8 more working hours per week on average, tools enable work expansion rather than substitution.
The 'always-ready' framing of AI tools erodes psychological permission to disengage, raising baseline stress even when objective workload is unchanged.
High AI adopters paradoxically report higher job satisfaction despite longer hours, driven by perceived competence gains and task variety.",
14,2019-06-01,2026-04-30,,wellbeing,intl,,Behind the Screen: Content Moderation in the Shadows of Social Media,Sarah T. Roberts — Yale University Press,https://yalebooks.yale.edu/book/9780300235883/behind-the-screen/,"An ethnography of commercial content moderation documenting the hidden global workforce that screens violent and traumatic material for platforms. Roberts traces the psychological toll of sustained exposure, the deliberate invisibility of the work, and its outsourcing to workers with minimal support.","Commercial content moderation is invisible by design: platforms distance the work through outsourcing and non-disclosure, keeping its human cost off the books.
Moderators describe cumulative psychological harm from sustained exposure to violent and abusive material, with little employer-provided mental-health support.
Outsourced moderation concentrates in the Global South, where workers absorb the trauma of screening content for platforms headquartered elsewhere.",
15,2023-06-14,2026-04-30,,macro,intl,,The Economic Potential of Generative AI: The Next Productivity Frontier,McKinsey Global Institute,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier,"Generative AI could add $2.6–4.4 trillion annually to the global economy, but a 5–10 year lag before macroeconomic productivity gains materialize follows historical technology cycles.","Current AI investment is concentrated in infrastructure buildout, resembling the 1993–1999 internet phase that preceded measurable GDP productivity gains.
Early efficiency gains are predominantly captured as margin by AI-deploying firms rather than passed to consumers or workers.
The Jevons Paradox is already visible: AI efficiency gains in coding and content are absorbed by increased output demands rather than reduced working time.",
16,2023-03-27,2026-04-30,,macro,intl,,Generative AI Could Raise Global GDP by 7%,Goldman Sachs Global Investment Research,https://www.gspublishing.com/content/research/en/reports/2023/03/27/d64e052b-0f6e-45d7-967b-d7be35fabd16.html,"Generative AI could displace 300 million full-time job equivalents globally while also driving 7% GDP growth, the most cited baseline for scale of economic transformation.","Stock image and illustration licensing revenue is projected to fall 60–75% by 2027 as AI image generation becomes embedded in enterprise design workflows.
Copywriting and content marketing — a $400B global market — faces 30–50% revenue compression as AI drafting becomes default in marketing platforms.
Displacement concentrates among freelancers and small agencies while large platforms integrating AI tools capture productivity surplus as margin.",
17,2025-03-01,2026-04-30,,policy,intl,,EU AI Act: Economic Impact Assessment and Compliance Burden Analysis,European Parliament Research Service,https://www.europarl.europa.eu/RegData/etudes/STUD/2025/778575/ECTI_STU(2025)778575_EN.pdf,"The EU AI Act's high-risk classification system imposes €200K–€400K per system per year in compliance costs, creating structural competitive advantages for large incumbents over startups.","SMEs building AI for employment, credit, or education decisions face disproportionate conformity assessment burdens that scale poorly with firm size.
20–30% of EU-focused AI startups are exploring non-EU incorporation to avoid high-risk classification, a regulatory arbitrage the Act's extraterritorial provisions don't fully close.
The prohibited AI list is narrower than civil society advocates requested, leaving several contested use cases in the 'limited risk' tier.",
18,2024-01-08,2026-04-30,,policy,us,,State-Level AI Employment Laws: A 50-State Survey,National Employment Law Project,https://www.nelp.org/publication/artificial-intelligence-employment-law/,"A patchwork of state AI-in-hiring laws is emerging rapidly, creating compliance complexity for multi-state employers and leaving workers in 47 states with no statutory AI disclosure rights.","Illinois, Maryland, and New York City have enacted laws requiring bias audits or disclosure for AI hiring tools, but enforcement capacity varies enormously.
No federal floor exists: workers in 47 states have no statutory right to know whether AI was used in their hiring, promotion, or termination decisions.
60% of HR technology vendors have not updated products to satisfy existing state audit requirements, suggesting widespread non-compliance even where laws exist.",
23,2026-04-08,2026-04-30,,community,us,,Pennsylvania's Power: Why Local Authority Is the Key to AI Infrastructure Decisions,"Cella Sum, Maia Woluchem — Data & Society",https://datasociety.net/research-library/pennsylvanias-power-why-local-authority-is-the-key-to-ai-infrastructure-decisions/,"Pennsylvania is becoming a national hub for data center and AI infrastructure, but state legislation aligned with federal AI industrial policy is eroding municipal authority and bypassing community input in decisions about where and how this infrastructure is built.","State preemption laws reduce local governance and public oversight of data center siting, prioritizing regulatory speed over community needs and environmental review.
Federal AI Action Plan initiatives are accelerating state-level measures that streamline infrastructure approvals without adequate democratic participation from affected communities.
An alternative governance framework would balance state infrastructure goals with meaningful local authority, allowing communities to negotiate conditions, not just receive decisions.",
24,2026-01-21,2026-04-30,,policy,us,,The Big AI State: How the Trump Administration Is Shaping US Industrial Policy Toward 'Global Technological Dominance',"Brian J. Chen, Jai Vipra — Data & Society",https://datasociety.net/library/the-big-ai-state/,"Contrary to deregulation rhetoric, the Trump administration is undertaking extraordinary levels of market intervention in AI, reducing financial risk for data center developers, opening foreign markets for U.S. AI infrastructure, and acquiring ownership stakes in critical AI supply chain companies.","The emerging 'Big AI State' dedicates substantial public resources to AI investments spanning tech, fossil fuel, real estate, and asset management sectors, blurring public-private boundaries.
Government actions consistently prioritize political objectives and industry growth over worker welfare, community impacts, and environmental protections.
Addressing the concentration of power in AI infrastructure requires new public policy tools and stronger democratic oversight, reversing current policies is necessary but insufficient.",
25,2026-02-04,2026-04-30,,education,us,,(404) Job Not Found: How Government Can Help AI Education Deliver Real Benefits for Workers,"Serena Oduro, Anuli Akanegbu — Data & Society",https://datasociety.net/library/404-job-not-found/,"Workers from disadvantaged backgrounds enroll in AI literacy programs but find they lead only to short-term, low-wage, and unsteady work, revealing a fundamental mismatch between digital skilling initiatives and the actual barriers workers face.","AI literacy programs fail workers when they treat skill-building in isolation from the broader socioeconomic conditions — housing instability, childcare, transportation — that make sustained learning impossible.
Federal, state, and local governments must align workforce training investments with quality-of-life supports; skills without stability produce credentials, not economic mobility.
Effective digital skilling is contextualized within comprehensive workforce support strategies — not standalone courses — and must be designed with input from the workers they intend to serve.",
26,2025-10-08,2026-04-30,,surveillance,us,,The 'Privacy' Trap: How 'Privacy-Preserving AI Techniques' Mask the New Worker Surveillance and Datafication,"Minsu Longiaru, Wilneida Negrón, Brian J. Chen, Aiha Nguyen et al. — Data & Society",https://datasociety.net/library/the-privacy-trap/,"Corporations deploy 'privacy-preserving' AI techniques that technically comply with data privacy laws while enabling large-scale behavioral analysis and worker control, using the language of privacy protection to expand, not constrain, workplace surveillance.","Techniques like differential privacy and federated learning can mask surveillance operations: workers remain monitored and profiled even as companies claim compliance with privacy regulations.
Workers lack adequate voice and agency in digital workplace environments; current privacy frameworks address data exposure but not the power imbalances that surveillance creates.
Stronger state enforcement, new workplace technology rights, and three proposed design principles — transparency, worker consent, and third-party audits — offer pathways to genuine protection.",
27,2026-02-09,2026-04-30,,community,us,,Building Civic Strength for an AI Era,"Meg Young, Alice E. Marwick, Anuli Akanegbu et al. — Data & Society",https://datasociety.net/points/building-civic-strength-for-an-ai-era/,"Standard 'AI literacy' frameworks are failing the public by framing AI adoption as an individual responsibility rather than a civic and democratic challenge, Data & Society is launching a multi-year AI Civics initiative to build collective capacity for institutional accountability.","Public audiences express significant anxiety about AI's rapid integration into daily life and job prospects, and want engagement beyond passive consumption, they seek avenues for collective action.
AI Civics treats artificial intelligence as a civic domain where people hold rights and collective action potential, shifting responsibility from individual users to institutions and policymakers.
The initiative runs through 2029, partnering with community organizations to develop context-specific civics curricula that address systemic concerns rather than promoting individual adoption.",
28,2026-03-25,2026-04-30,,policy,us,,Protecting the Public from Chatbot Harms: Aligning State Policy with Research,"Serena Oduro, Briana Vecchione, Meryl Ye, Livia Garofalo — Data & Society",https://datasociety.net/points/protecting-the-public-from-chatbot-harms-aligning-state-policy-with-research/,"Users frequently turn to general-purpose chatbots during emotional vulnerability, but current state legislation focuses almost entirely on disclosure requirements, failing to address the design patterns that enable dependency, reinforce detachment from reality, and escalate distress.","Research shows chatbots can mimic intimacy, reinforce detachment from reality, and escalate emotional distress across all age groups, harms that one-time disclosure notices do not prevent.
Effective regulation requires mandatory design constraints prohibiting manipulative behaviors, emotional looping, and isolation-promoting patterns, not just labeling that the user is talking to an AI.
Safety protocols must incorporate crisis signal recognition with clinically-informed escalation to human support; independent audits and attorney general enforcement are essential accountability mechanisms.",
29,2026-03-19,2026-04-30,,wellbeing,intl,,"What 81,000 People Want from AI",Saffron Huang et al. — Anthropic,https://www.anthropic.com/features/81k-interviews,"In the largest multilingual qualitative AI study ever conducted — 80,508 Claude users across 159 countries — hope and alarm coexist within individuals rather than dividing into camps, with jobs and economic displacement ranking as the second-most cited concern at 22.3%.","Top AI visions: professional excellence (18.8%), personal transformation (13.7%), and time freedom (11.1%), but 81% report AI has moved them toward their stated vision, with productivity gains cited by 32%.
Lower-income regions show 67% net positive sentiment versus more skepticism in wealthy Western nations; entrepreneurship resonates most in Africa and South Asia, while life management concerns peak in developed countries.
A critical 'experience gap' exists: benefits are mostly grounded in lived experience (91% of learning-benefit mentions), while systemic harms remain largely speculative, 46% of cognitive atrophy concerns are firsthand, suggesting public fear outpaces actual harm for some risks.",
30,2024-12-11,2026-04-30,,macro,intl,,The Missing Institution: A Global Dividend System for the Age of Transformative AI,Anna Yelizarova — Digitalist Papers,https://www.digitalistpapers.com/vol2/yelizarova,Existing national institutions cannot capture value from borderless AI systems; a legally protected global institution modeled on sovereign wealth funds — distributing AI-generated surplus as universal income — is the missing redistributive mechanism.,"National UBI schemes and traditional taxation cannot address AI systems that generate value across borders without clear jurisdictional accountability, a structural gap that grows as AI scales.
A global AI dividend institution would hold corporate equity stakes in AI firms and distribute returns universally, requiring unprecedented international coordination but offering a durable redistribution floor.
The proposal reframes AI governance from a regulatory problem to an institutional design problem: not just how to constrain AI, but how to structurally distribute its gains before inequality becomes irreversible.",
32,2023-10-30,2026-04-30,,policy,us,,AI and the Future of Work in America: Policy Solutions for Supporting Workers,Patrick Gaspard — Center for American Progress,https://www.schumer.senate.gov/imo/media/doc/Patrick%20Gaspard%20-%20Statement.pdf,"AI-driven job displacement requires proactive policy intervention — including work-sharing programs, enhanced unemployment insurance, and improved tax enforcement on tech profits — to maintain economic stability and worker protections during the transition.","Work-sharing programs can prevent mass layoffs by allowing employers to reduce hours rather than eliminate positions, preserving employment relationships and benefits during AI-driven industry transitions.
Current unemployment insurance was designed for cyclical job loss, not structural technological displacement, benefit duration, eligibility criteria, and retraining support all require systematic modernization.
Closing tax loopholes that enable tech sector offshore profit shifting is a prerequisite for funding transition programs, enforcement is an underutilized policy lever before any new revenue mechanisms are needed.",
33,2025-12-09,2026-04-30,,macro,us,,How Americans Feel About a World Without Paid Work,Bharat Ramamurti — The Bully Pulpit,https://bharatramamurti.substack.com/p/how-americans-feel-about-a-world,"A survey of 12,000 Americans finds that most believe AI gains should be distributed broadly rather than concentrated with private owners, and prefer a jobs guarantee over UBI, valuing employment for its dignity and purpose, not just income.","Americans across partisan lines express skepticism about AI profits concentrating in private hands, suggesting broad latent support for redistribution mechanisms tied to AI economic gains.
Even when presented with a post-scarcity scenario, most Americans prefer meaningful employment over unconditional income transfers, a finding that challenges UBI-first policy frameworks.
The survey reveals a public mandate for jobs guarantee programs that current political narratives about AI policy have largely failed to engage or activate.",
34,2024-05-01,2026-04-30,,labor,us,,Wage Insurance for Displaced Workers,"Benjamin Hyman, Brian Kovak, Adam Leive — NBER",https://www.nber.org/papers/w32464,Wage insurance within the U.S. Trade Adjustment Assistance program increases short-run employment probabilities and raises long-run cumulative earnings — primarily by shortening non-employment spells — and may be financially self-sustaining.,"Workers receiving wage insurance return to employment faster and achieve higher total earnings over time compared to those receiving only traditional unemployment benefits.
The financial self-sustainability finding is significant: wage insurance may pay for itself through reduced benefit duration and increased tax contributions from faster re-employment, removing a core fiscal objection.
Trade Adjustment Assistance provides the closest existing model for AI displacement insurance; expanding wage insurance eligibility beyond trade-displaced workers is a near-term, tested policy option.",
35,2024-12-11,2026-04-30,,policy,us,,Resilient by Design: Dual Safety Nets for Workers in the AI Economy,Ioana Marinescu — Digitalist Papers,https://www.digitalistpapers.com/vol2/marinescu,A two-tiered safety net — AI Adjustment Insurance for transitory displacement and a contingent Digital Dividend for persistent joblessness — offers scalable worker protection calibrated to the actual severity of AI's labor market disruption.,"AI Adjustment Insurance extends existing unemployment infrastructure with enhanced benefits, wage insurance, and retraining support, deployable now without building new administrative systems.
The Digital Dividend is contingent: funded by taxes on the digital economy, it activates and scales only if AI causes persistent widespread joblessness rather than transitional displacement.
The dual-tier design bridges the policy debate between incrementalists and UBI advocates, fiscally prudent under moderate disruption, adequate under severe scenarios, and politically viable across both.",
36,2025-12-11,2026-04-30,,labor,intl,,Beyond Job Displacement: How AI Could Reshape the Value of Human Expertise,"David Autor, Neil Thompson — Digitalist Papers",https://www.digitalistpapers.com/vol2/autorthompson,AI's wage and employment effects depend critically on whether it automates expert or routine tasks: automating expertise raises wages while reducing employment; automating routine tasks expands employment while depressing wages.,"The 'expertise framework' predicts divergent outcomes across occupations facing identical AI pressures, a nurse and a radiologist may both face automation but with opposite consequences for wages and employment.
Occupations where AI removes routine sub-tasks could see employment expand as work becomes accessible to workers without deep expertise, but at lower wages, worsening inequality within occupational fields.
Policy interventions differ sharply depending on which type of automation dominates: augmenting expertise requires investment incentives; routine-task automation requires income support and retraining at much larger scale.",
37,2020-11-17,2026-04-30,,labor,us,,The Work of the Future: Building Better Jobs in an Age of Intelligent Machines,"David Autor, David Mindell, Elisabeth Reynolds — MIT Work of the Future Task Force",https://workofthefuture-taskforce.mit.edu/wp-content/uploads/2021/01/2020-Final-Report4.pdf,"The challenge of AI and automation is not mass unemployment but extreme wage inequality, decades of productivity gains have been so unevenly distributed that most workers have seen minimal benefit from technological progress.","The U.S. has created abundant employment since 1980 but failed to create sufficient good jobs, the core problem is job quality and wage distribution, not job quantity.
Labor market institutions — unions, minimum wage, worker training systems — have eroded precisely when they were most needed to distribute technological gains broadly across the workforce.
Rebuilding these institutions requires coordinated action across employers, educational systems, and government; no single piecemeal intervention can address the systemic compression of wages at the bottom.",
38,2024-01-24,2026-04-30,,policy,us,,National Artificial Intelligence Research Resource (NAIRR),U.S. National Science Foundation,https://www.nsf.gov/focus-areas/ai/nairr,"The NAIRR pilot has supported 600+ research projects and 6,000 students across all 50 states, demonstrating that federally coordinated AI infrastructure can democratize access to compute and data that private or fragmented investment cannot equitably provide.","Concentrated AI compute resources at a handful of private firms creates structural barriers to independent safety, fairness, and societal-impact research, public infrastructure is a prerequisite for accountability.
The NAIRR model distributes AI research capacity to universities, nonprofits, and government agencies that cannot currently compete with frontier labs, enabling more diverse and public-interest research agendas.
Federal investment in shared AI infrastructure is simultaneously a competitiveness strategy and an equity intervention, access to compute determines who shapes AI's development trajectory.",
39,2025-01-30,2026-04-30,,policy,intl,,Building CERN for AI: An Institutional Blueprint,Alex Petropoulos et al. — Centre for Future Generations,https://cfg.eu/building-cern-for-ai/,"Europe requires a €30-35 billion CERN-style institution combining distributed and in-house AI research with accountability governance, a public good that no single nation or private actor can produce alone.","The CERN model offers a proven template: pooling sovereign resources and scientific talent across nations to produce research infrastructure that individual governments cannot fund competitively.
A hybrid structure — distributed research networks plus concentrated in-house teams — balances the speed advantages of centralized effort with the diversity and legitimacy of open collaboration.
Governance transparency and public accountability are core design requirements: the institution must demonstrate clear public benefit to maintain political support across member states through multiple election cycles.",
40,2025-07-29,2026-04-30,,policy,intl,,"Sovereignty, Security, Scale: A UK Strategy for AI Infrastructure",Tony Blair Institute for Global Change,https://institute.global/insights/tech-and-digitalisation/sovereignty-security-scale-a-uk-strategy-for-ai-infrastructure,"The UK must build 3-5GW of domestic AI compute by 2030 and focus on economy-wide deployment rather than frontier model competition, requiring planning reform, energy investment, and AI Growth Zones to maintain strategic sovereignty.","Competing with the U.S. and China in frontier AI model training is not viable for the UK; a deployment-focused strategy applying AI broadly across the economy offers higher and more durable national returns.
Planning and energy infrastructure constraints are the primary bottlenecks, regulatory reform in these areas is as strategically important as direct AI investment and more immediately actionable.
AI Growth Zones with streamlined approvals and infrastructure commitments could concentrate private investment while preserving public oversight of critical AI infrastructure at the national level.",
41,2026-02-23,2026-04-30,"duplicate of #228 (same pro-worker AI paper by Acemoglu, Autor & Johnson)",labor,us,,Building Pro-Worker AI,"Daron Acemoglu, David Autor, Simon Johnson — Brookings Institution",https://www.brookings.edu/articles/building-pro-worker-ai/,"Firms over-invest in AI that automates rather than augments workers; nine specific interventions — building government AI expertise, targeting high-opportunity sectors, and antitrust enforcement — could redirect AI development toward enhancing rather than displacing labor.","The choice between augmenting and automating AI is not technologically determined, it reflects investment incentives shaped by tax policy, procurement rules, and competitive dynamics that government can actively reshape.
Nine proposed interventions span demand-side (public procurement favoring augmentation), supply-side (research investment in worker-complementary AI), and regulatory levers (antitrust action against anticompetitive AI acquisitions).
Without active policy intervention, default market incentives will continue directing AI investment toward labor replacement, the current automation-heavy trajectory is a policy failure, not an inevitability.",
42,2025-06-03,2026-04-30,,macro,us,,Artificial Power: 2025 Landscape Report,"Kate Brennan, Amba Kak, Dr. Sarah Myers West — AI Now Institute",https://ainowinstitute.org/publications/research/ai-now-2025-landscape-report,AI integration is concentrating unprecedented power in a small group of tech companies; communities and policymakers must act strategically to reclaim democratic agency.,"A handful of vertically integrated tech corporations now control the full AI stack — from chips and cloud infrastructure to models and applications — creating systemic risks to democratic accountability and competitive markets.
AI power concentration is not a side effect of innovation but a deliberate corporate strategy; regulatory and community responses must be similarly deliberate and coordinated to be effective.
The report frames AI governance as fundamentally a question of political and economic power, not just technical safety, shifting the policy debate from harms mitigation to structural accountability.",
43,2026-04-01,2026-04-30,,macro,intl,,2026 AI Index Report,Stanford HAI,https://aiindex.stanford.edu/report/,"Annual data-driven overview of global AI development tracking technical, economic, and societal trends to provide empirical benchmarks for research, policy, and governance.","AI capabilities continued rapid advancement across benchmarks in 2025, with multimodal and reasoning models showing particular gains, but performance improvements are increasingly concentrated in a small number of well-resourced labs.
AI adoption in enterprise and government settings accelerated, yet workforce displacement effects remain unevenly distributed, with lower-wage and routine-task workers facing disproportionate exposure.
Global AI governance diverged further in 2025-26, with the EU implementing binding rules, the U.S. rolling back federal oversight, and China expanding state-directed AI deployment, creating a fragmented international regulatory landscape.",
44,2026-01-06,2026-04-30,,policy,us,,Expert Predictions on What's at Stake in AI Policy in 2026,J.B. Branch & Ilana Beller (Public Citizen) et al. — Tech Policy Press,https://techpolicy.press/expert-predictions-on-whats-at-stake-in-ai-policy-in-2026,"2026 will be defining for regulatory battles over corporate accountability; real-world harms to children, elections, and vulnerable populations are accumulating and demand federal and state action.","Federal preemption of state AI laws is the central legislative battleground in 2026; corporate lobbying for weak federal standards that override stronger state protections is the primary regulatory threat.
Documented AI harms — to minors, in elections, in healthcare and criminal justice — are no longer hypothetical, increasing pressure on legislators to move from voluntary frameworks to binding accountability rules.
State-level AI legislation has outpaced federal action and represents the most active regulatory frontier; the fate of state authority to regulate AI will define the scope of accountability possible in the near term.",
45,2026-01-12,2026-04-30,,policy,intl,,How 2026 Could Decide the Future of Artificial Intelligence,"Chris McGuire, Kat Duffy et al. — Council on Foreign Relations",https://www.cfr.org/article/how-2026-could-decide-future-artificial-intelligence,"As AI transitions from experimental to widespread deployment, governance frameworks and geopolitical competition with China will shape whether power concentrates in democratic or authoritarian hands.","2026 marks a transition point where AI moves from research and pilots to embedded infrastructure, governance decisions made now will be extremely difficult to reverse as systems become load-bearing.
U.S.-China competition for AI leadership is intensifying across semiconductors, talent, and standards bodies; export controls and investment restrictions are shaping a bifurcated global AI ecosystem.
Democratic governance of AI requires proactive international coordination; a fragmented or race-to-the-bottom regulatory environment risks ceding norm-setting to authoritarian models with fewer accountability constraints.",
46,2026-03-01,2026-04-30,,labor,us,,Last Place in the AI-First Economy,"Alexandra Mateescu, Aiha Nguyen, Sanjay Pinto — Data & Society",https://datasociety.net/library/last-place-in-the-ai-first-economy/,The 'AI-first economy' is a series of deliberate economic decisions that systematically disempower workers; equitable AI futures require democratic oversight and support for worker organizing.,"The 'AI-first' framing naturalizes corporate choices about automation and surveillance as inevitable technological progress, obscuring the labor relations and power dynamics those choices embed.
Workers in low-wage, care, and service sectors face the most intensive AI monitoring and the fewest protections, the same populations least able to exit bad employers or contest algorithmic decisions.
Worker organizing and collective bargaining are the most effective mechanisms for shaping AI deployment in workplaces; policy interventions that strengthen labor rights are AI governance interventions.",
